user_id,product_id,event_type,timestamp
U0001,PID00181,view,2025-04-11 06:30:00
U0001,PID00181,click,2025-04-11 06:30:00
U0001,PID00650,view,2025-05-07 02:17:00
U0001,PID00650,click,2025-05-07 02:17:00
U0001,PID00650,add_to_cart,2025-05-07 02:17:00
U0001,PID00650,rating,2025-05-07 02:17:00
U0001,PID00625,view,2024-12-13 12:22:00
U0001,PID00625,add_to_cart,2024-12-13 12:22:00
U0001,PID00985,view,2025-06-01 18:40:00
U0001,PID00985,add_to_cart,2025-06-01 18:40:00
U0001,PID00568,view,2025-05-02 16:20:00
U0001,PID00568,click,2025-05-02 16:20:00
U0001,PID00481,view,2025-05-24 00:20:00
U0001,PID00481,click,2025-05-24 00:20:00
U0001,PID00763,view,2025-05-29 23:31:00
U0001,PID00763,add_to_cart,2025-05-29 23:31:00
U0001,PID00763,wishlist,2025-05-29 23:31:00
U0001,PID00763,purchase,2025-05-29 23:31:00
U0001,PID00349,view,2025-04-19 02:53:00
U0001,PID00349,click,2025-04-19 02:53:00
U0001,PID00349,wishlist,2025-04-19 02:53:00
U0001,PID00188,view,2025-04-08 16:44:00
U0001,PID00188,wishlist,2025-04-08 16:44:00
U0001,PID00585,view,2025-01-01 01:16:00
U0001,PID00517,view,2024-09-09 01:41:00
U0001,PID00517,click,2024-09-09 01:41:00
U0001,PID00311,view,2025-02-10 18:29:00
U0001,PID00311,click,2025-02-10 18:29:00
U0001,PID00462,view,2024-09-05 10:43:00
U0001,PID00460,view,2024-08-22 10:37:00
U0001,PID00417,view,2025-06-09 23:21:00
U0001,PID00417,click,2025-06-09 23:21:00
U0001,PID00475,view,2024-08-18 23:18:00
U0001,PID00475,click,2024-08-18 23:18:00
U0001,PID00813,view,2024-11-28 07:10:00
U0001,PID00813,click,2024-11-28 07:10:00
U0001,PID00383,view,2024-11-30 13:07:00
U0001,PID00383,click,2024-11-30 13:07:00
U0001,PID01062,view,2025-02-22 12:42:00
U0001,PID01035,view,2025-02-14 20:24:00
U0001,PID01035,click,2025-02-14 20:24:00
U0001,PID00588,view,2024-12-31 00:59:00
U0001,PID00588,click,2024-12-31 00:59:00
U0001,PID00418,view,2024-08-12 11:42:00
U0001,PID00418,click,2024-08-12 11:42:00
U0001,PID00418,wishlist,2024-08-12 11:42:00
U0001,PID00649,view,2024-09-02 09:57:00
U0001,PID00649,click,2024-09-02 09:57:00
U0001,PID00649,wishlist,2024-09-02 09:57:00
U0001,PID00978,view,2024-11-13 01:50:00
U0001,PID00978,click,2024-11-13 01:50:00
U0001,PID00978,wishlist,2024-11-13 01:50:00
U0001,PID00777,view,2025-06-29 22:12:00
U0001,PID00944,view,2025-02-19 10:01:00
U0001,PID00944,click,2025-02-19 10:01:00
U0001,PID00646,view,2025-05-02 12:04:00
U0001,PID00756,view,2024-12-11 22:03:00
U0001,PID00756,click,2024-12-11 22:03:00
U0001,PID00756,add_to_cart,2024-12-11 22:03:00
U0001,PID00373,view,2024-08-24 04:39:00
U0001,PID00373,click,2024-08-24 04:39:00
U0001,PID00373,wishlist,2024-08-24 04:39:00
U0001,PID00868,view,2024-12-26 20:29:00
U0001,PID00868,click,2024-12-26 20:29:00
U0001,PID00868,wishlist,2024-12-26 20:29:00
U0001,PID00273,view,2025-02-18 17:50:00
U0001,PID00273,click,2025-02-18 17:50:00
U0001,PID00823,view,2025-01-13 08:52:00
U0001,PID00823,click,2025-01-13 08:52:00
U0001,PID00987,view,2025-01-01 20:21:00
U0001,PID00178,view,2025-01-10 00:12:00
U0001,PID00178,click,2025-01-10 00:12:00
U0001,PID00735,view,2024-11-01 03:25:00
U0001,PID00735,click,2024-11-01 03:25:00
U0001,PID00735,add_to_cart,2024-11-01 03:25:00
U0001,PID00127,view,2025-02-04 19:15:00
U0001,PID00127,click,2025-02-04 19:15:00
U0001,PID00858,view,2025-02-12 14:57:00
U0001,PID00858,click,2025-02-12 14:57:00
U0001,PID00112,view,2025-04-12 23:04:00
U0001,PID00112,add_to_cart,2025-04-12 23:04:00
U0001,PID01052,view,2025-02-24 15:17:00
U0001,PID00185,view,2024-11-04 20:38:00
U0001,PID00185,click,2024-11-04 20:38:00
U0001,PID00185,add_to_cart,2024-11-04 20:38:00
U0001,PID01069,view,2024-12-17 12:58:00
U0001,PID01069,purchase,2024-12-17 12:58:00
U0001,PID00941,view,2025-04-19 08:51:00
U0001,PID00941,wishlist,2025-04-19 08:51:00
U0001,PID00712,view,2024-08-09 09:26:00
U0001,PID00921,view,2025-04-19 22:50:00
U0001,PID00921,click,2025-04-19 22:50:00
U0001,PID00921,rating,2025-04-19 22:50:00
U0001,PID00934,view,2025-01-04 06:06:00
U0001,PID00934,add_to_cart,2025-01-04 06:06:00
U0001,PID01060,view,2024-09-25 10:46:00
U0001,PID00335,view,2024-11-22 10:47:00
U0001,PID00335,click,2024-11-22 10:47:00
U0001,PID00709,view,2025-03-19 02:51:00
U0001,PID00127,view,2025-01-26 05:16:00
U0001,PID00738,view,2024-12-29 07:14:00
U0001,PID00738,click,2024-12-29 07:14:00
U0001,PID00738,wishlist,2024-12-29 07:14:00
U0001,PID00738,rating,2024-12-29 07:14:00
U0001,PID00230,view,2024-12-13 12:04:00
U0001,PID00230,click,2024-12-13 12:04:00
U0001,PID00682,view,2025-01-14 07:20:00
U0001,PID00682,click,2025-01-14 07:20:00
U0001,PID00690,view,2025-01-10 07:11:00
U0001,PID00572,view,2024-10-26 14:02:00
U0001,PID00572,click,2024-10-26 14:02:00
U0001,PID00635,view,2025-04-13 16:07:00
U0001,PID00635,click,2025-04-13 16:07:00
U0001,PID00900,view,2025-05-26 07:39:00
U0001,PID00939,view,2025-06-14 07:02:00
U0001,PID00939,click,2025-06-14 07:02:00
U0001,PID00939,wishlist,2025-06-14 07:02:00
U0001,PID00601,view,2024-07-15 01:08:00
U0001,PID00601,click,2024-07-15 01:08:00
U0001,PID00601,add_to_cart,2024-07-15 01:08:00
U0001,PID00719,view,2024-07-19 23:27:00
U0001,PID00719,click,2024-07-19 23:27:00
U0001,PID00719,wishlist,2024-07-19 23:27:00
U0001,PID01049,view,2024-10-19 03:54:00
U0001,PID01049,click,2024-10-19 03:54:00
U0001,PID01049,wishlist,2024-10-19 03:54:00
U0001,PID01049,purchase,2024-10-19 03:54:00
U0001,PID00161,view,2024-07-01 11:12:00
U0001,PID00161,click,2024-07-01 11:12:00
U0001,PID00157,view,2025-05-04 08:00:00
U0001,PID00157,click,2025-05-04 08:00:00
U0001,PID00117,view,2024-09-22 04:35:00
U0001,PID00117,click,2024-09-22 04:35:00
U0001,PID00117,wishlist,2024-09-22 04:35:00
U0001,PID00782,view,2024-08-24 19:35:00
U0001,PID00782,click,2024-08-24 19:35:00
U0001,PID00782,add_to_cart,2024-08-24 19:35:00
U0001,PID00782,purchase,2024-08-24 19:35:00
U0001,PID00519,view,2024-07-12 16:29:00
U0001,PID00519,click,2024-07-12 16:29:00
U0001,PID00912,view,2025-05-07 23:53:00
U0001,PID00912,click,2025-05-07 23:53:00
U0001,PID00797,view,2025-05-09 01:54:00
U0001,PID00797,click,2025-05-09 01:54:00
U0001,PID00424,view,2024-11-09 12:22:00
U0001,PID01018,view,2024-11-29 16:51:00
U0001,PID01018,click,2024-11-29 16:51:00
U0001,PID01018,add_to_cart,2024-11-29 16:51:00
U0001,PID01018,wishlist,2024-11-29 16:51:00
U0001,PID01018,rating,2024-11-29 16:51:00
U0001,PID00899,view,2024-08-30 03:33:00
U0001,PID00354,view,2025-02-02 02:54:00
U0001,PID00354,click,2025-02-02 02:54:00
U0001,PID00354,add_to_cart,2025-02-02 02:54:00
U0001,PID00458,view,2025-06-27 13:44:00
U0001,PID00458,click,2025-06-27 13:44:00
U0001,PID00458,add_to_cart,2025-06-27 13:44:00
U0001,PID00402,view,2025-05-24 10:43:00
U0001,PID00212,view,2025-02-03 03:45:00
U0001,PID00212,click,2025-02-03 03:45:00
